"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
SILENI SATYR SAUVIGNON BLANC MARLBOROUGH  2014 750ml ,3,SB-NZ-A,New Zealand>MARLBOROUGH>New Zealand,Sauvignon Blanc_1 ,,思兰尼萨堤尔长相思白葡萄酒,SILENI SATYR SAUVIGNON BLANC MARLBOROUGH  2014 750ml ,white,2014,0.12,干型
"Villa Maria Private Bin Sauvignon Blanc, Marlborough",4,SB-NZ-A,New Zealand>Marlborough,,Sauvignon Blanc_1,新玛利庄园马尔堡珍匣长相思,"Villa Maria Private Bin Sauvignon Blanc, Marlborough",White Wine,2014,0.125,4.5
"Villa Maria Estate Series Sauvignon Blanc, Marlborough",5,SB-NZ-A,New Zealand>Martinborough,,Sauvignon Blanc_1,新玛利庄园马尔堡精选长相思,"Villa Maria Estate Series Sauvignon Blanc, Marlborough",White Wine,2014,0.125,4
Hãhã 2014 Marlborough Sauvignon Blanc,6?,SB-NZ-A,New Zealand>Marlborough,,Sauvignon Blanc_1,,Hãhã 2014 Marlborough Sauvignon Blanc,White,2014,0.135,1.3 g/l
Marlborough Music Bay Sauvignon Blanc White Wine 2014,8,SB-NZ-B,New Zealand>Marlborough,Sauvignon Blanc_1,,马尔堡音乐湾长相思白葡萄酒,Marlborough Music Bay Sauvignon Blanc White Wine 2014,白葡萄酒/White Wine,2014,0.14,经销商，大流通
"Babich Black Label Marlborough 
Sauvignon Blanc
",9,SB-NZ-B,New Zealand>Marburg,Sauvignon Blanc_1,,百祺黑标马尔堡长相思,"Babich Black Label Marlborough 
Sauvignon Blanc
",干白,2014,0.13,4
"Babich  Marlborough 
Sauvignon Blanc
",10,SB-NZ-B,New Zealand>Marburg,Sauvignon Blanc_1 ,,百祺马尔堡长相思,"Babich  Marlborough 
Sauvignon Blanc
",干白,2014,0.13,3.6
SEIFRIED Sauvignon Blanc,11,SB-NZ-B,New Zealand>Nelson,,Sauvignon Blanc_1,赛菲利-长相思白葡萄酒,SEIFRIED Sauvignon Blanc,干型,2014,0.13,
"Villa Maria Reserve Sauvignon Blanc, Clifford Bay, Marlborough",12,SB-NZ-B,Australia>Margaret River>Ribbon Vale Vineyard,,Sauvignon Blanc_1,新玛利庄园马尔堡克里福德湾珍藏长相思,"Villa Maria Reserve Sauvignon Blanc, Clifford Bay, Marlborough",White Wine,2014,0.13,3.1
Ara Single Estate Sauvignon Blanc 2014,14?,SB-NZ-B,New Zealand>Marlborough>Waihopai Valley,,Sauvignon Blanc _1,,Ara Single Estate Sauvignon Blanc 2014,Sauvignon Blanc,2014,0.13,3.08
CRAGGY RANGE Avery Sauvignon Blanc,13,SB-NZ-B,New Zealand>Marlborough,,Sauvignon Blanc_1,克拉吉酒庄，艾弗莉长相思白,CRAGGY RANGE Avery Sauvignon Blanc,White,2014,,
"Wairau River, Marlborough Sauvignon Blanc",15,SB-NZ-B,New Zealand,,Sauvignon Blanc_1,维拉河酒庄，长相思白,"Wairau River, Marlborough Sauvignon Blanc",White,2013,0.13,
Marlborough O:TU Prestige Sauvignon Blanc White Wine 2014,16,SB-NZ-C,New Zealand>Marlborough,Sauvignon Blanc_1,,马尔堡噢特优名望长相思白葡萄酒,Marlborough O:TU Prestige Sauvignon Blanc White Wine 2014,白葡萄酒/White Wine,2013,0.13,酒交所发行
Laurent Miquel Nord Sud Syrah Rouge,3,SH,France>Languedoc Roussillon,Shiraz_1,,劳伦米格尔南北系列西拉干红葡萄酒,Laurent Miquel Nord Sud Syrah Rouge,干红,2013,0.135,3.27
CHATEAU MARIS LA TOUGE MINERVOIS LIVINIERES 2011 750ml ,5,SH,France>South France>South France,Shiraz_0.85/Grenache_0.15,,玛丽庄园拉图哲红葡萄酒,CHATEAU MARIS LA TOUGE MINERVOIS LIVINIERES 2011 750ml ,red,2011,0.145,干型
SILENI CELLAR SELECTION SYRAH 2013,10,SH,New Zealand>MARLBOROUGH>New Zealand,Shiraz_1,,思兰尼酒窖精选西拉红葡萄酒,SILENI CELLAR SELECTION SYRAH 2013,red,2013,0.125,干型
Domaine Rouviole AOP Minervois La Liviniere,6,SH,France〉Languedoc>Minervois La Liviniere,Shiraz_0.8/Grenache_0.2,,胡微乐，米内瓦里维尼红,Domaine Rouviole AOP Minervois La Liviniere,Red,2009,0.15,
LES MARQUISES SYRAH,8,SH,France>Rhône Valley>Nimes,,Shiraz_1,拉玛赫侯爵干红葡萄酒,LES MARQUISES SYRAH,干红,2010,0.145,
"Nicolas Perrin Rouge, Crozes Hermitage  AOC",7,SH,France>Rhone Valley>Crozes Hermitage AOC,,Shiraz_1,"尼古拉斯佩兰酒庄, 克罗兹埃米塔日AOC","Nicolas Perrin Rouge, Crozes Hermitage  AOC",Red Wine,2011,,
Vinus - Le Syrah Réserve,4,SH,France>Languedoc,,Shiraz_1,,Vinus - Le Syrah Réserve,Red,2013,0.137,2.6
"David Stone 
Shiraz Red Wine",16,SH-A,USA>California>Central Valley,Shiraz_1,,大卫斯通设拉子红葡萄酒,"David Stone 
Shiraz Red Wine",Semi-Dry,NV,0.12,
wise monkey syrah,12,SH-A,Chile>Maule,,Shiraz_1,智猴西拉珍藏干红,wise monkey syrah,干型,2012,0.135,
Flinders 2013 South Australia Shiraz ,1,SH-AU-A,Australia>South Australia ,Shiraz_1,,富临发现者南澳西拉子葡萄酒(2013),Flinders 2013 South Australia Shiraz ,干红,2013,0.14,3.1g/L
Rockart Estate Reserve Release Shiraz ,2？,SH-AU-A,Australia>Barossa Valley,Shiraz_0.836/Cabernet Sauvignon_0.153,,洛特庄园（收藏级）希拉赤霞珠干红葡萄酒,Rockart Estate Reserve Release Shiraz ,干红,2012,0.15,4.4g/l
Red Deer Station HomesteadShiraz,3,SH-AU-A,Australia>South Australia,Shiraz_1,,"皇鹿驿站
家园系列
西拉子干红葡萄酒",Red Deer Station HomesteadShiraz,干红,2012,0.14,4.5g/L
BETA Northern Shiraz ,4,SH-AU-A,Australia>Barossa,,Shiraz_0.86/CS_0.14,彼得巴罗萨北部干红葡萄酒,BETA Northern Shiraz ,干型,2013,0.145,0.6
ANGOVE LONG ROW Shiraz,5,SH-AU-A,Australia>South Australia,,Shiraz_1,安戈瓦-朗路-西拉干红葡萄酒 ,ANGOVE LONG ROW Shiraz,干型,2013,0.14,
Taylors Estate Shiraz ,6?,SH-AU-A,Australia>South Australia,,Shiraz,泰勒氏庄园臻选设拉子红葡萄酒,Taylors Estate Shiraz ,,2014,,
,7？,SH-AU-A,Australia>SouthAustralia,,Shiraz_0.8/Cabernet Sauvignon_0.2,珍宴西拉子伽本力红葡萄酒,,红,2013,0.13,
18 Eighty Nine Shiraz,8,SH-AU-A,,,,布琅兄弟设拉子红葡萄酒,18 Eighty Nine Shiraz,,2013,0.14,2.8(dry)
Jacob's Creek Reserve Shiraz Barossa,12,SH-AU-B,Australia>South Australia>Barossa,Shiraz_1,,杰卡斯珍藏巴罗萨西拉,Jacob's Creek Reserve Shiraz Barossa,干红,2013,0.145,0
Elgo Estate Shiraz 2010,13,SH-AU-B,Australia>VICTORIA>Stathbogie Ranges,Shiraz_1,,伊谷酒庄西拉干红葡萄酒,Elgo Estate Shiraz 2010,RED,2010,0.14,
2012 Shiraz Victory,14,SH-AU-B,Australia>Adelaide>Barossa Valley,Shiraz_1,,维多利亚至尊色拉子红葡萄酒,2012 Shiraz Victory,red,2012,0.145,
Mr. Riggs 'The Gaffer' Shiraz,15,SH-AU-B,Australia>McLaren Vale,Shiraz_1,,瑞格斯先生嘉菲西拉干红葡萄酒,Mr. Riggs 'The Gaffer' Shiraz,干红,2012,0.145,2.6g/L
Angelfish Reserve Shiraz,9,SH-AU-B,"Australia〉Riverina>Hilltops,Heathcote",Shiraz_0.85/Petit Verdot_0.12,,天使鱼珍藏西拉红葡萄酒,Angelfish Reserve Shiraz,Red Wine,2012,0.135,
Hentley Farm Caretaker Shiraz,16,SH-AU-B,Australia>Barossa Valley,Shiraz_1,,守护者设拉子,Hentley Farm Caretaker Shiraz,干红,2013,0.148,
GRANT BURGE 5TH GENERATION BAROSSA SHIRAZ 2013 750ml ,17,SH-AU-B,Australia>Barossa>Barossa,Shiraz_1,,格兰伯爵第五代巴罗萨设拉子红葡萄酒,GRANT BURGE 5TH GENERATION BAROSSA SHIRAZ 2013 750ml ,red,2013,0.14,干型
Relly's Shiraz,18,SH-AU-B,Australia>South Australia>Clare Valley,Shiraz_1,,莱利斯西拉干红葡萄酒,Relly's Shiraz,干红,2012,0.155,3.3
"Coriole, Coriole Estate Grown Shiraz",19,SH-AU-B,Australia>McLaren Vale,Shiraz_1,,可利庄园，西拉红,"Coriole, Coriole Estate Grown Shiraz",Red,2012,0.14,
TOOLANGI SHIRAZ,20,SH-AU-B,Australia>Yarra>Dixons Creek,,Shiraz_1,图朗吉庄园西拉干红葡萄酒,TOOLANGI SHIRAZ,干型,2010,0.13,0.31
Shottesbrooke Estate Series Shiraz,21？,SH-AU-B,Australia>South Australia>McLaren Vale,,Shiraz_1,希拉谷庄园西拉红葡萄酒,Shottesbrooke Estate Series Shiraz,Red,2013,14.5,4.2
ANGOVE FAMILY CREST Shiraz,22,SH-AU-B,Australia>South Australia>McLaren Vale,,Shiraz_1,安戈瓦-家族勋章西拉干红葡萄酒 ,ANGOVE FAMILY CREST Shiraz,干型,2012,0.14,
Wynns Black Label Shiraz ,23,SH-AU-B,Australia>South Eastern Australia,,Shiraz, 酝思古纳华拉酒庄黑牌设拉子干红葡萄酒,Wynns Black Label Shiraz ,,2012,,
Wolf Blass Grey Label Shiraz ,24,SH-AU-B,Australia>South Australia,,Shiraz,澳大利亚禾富酒园灰牌设拉子干红葡萄酒,Wolf Blass Grey Label Shiraz ,,2012,,
Wolf Blass Gold Label Shiraz ,25,SH-AU-B,Australia>South Australia,,Shiraz,澳大利亚禾富酒园金牌设拉子干红葡萄酒,Wolf Blass Gold Label Shiraz ,,2012,,
Leeuwin Siblings Shiraz,26,SH-AU-B,Australia>Western Australia,,Shiraz,澳大利亚露纹酒园兄妹情设拉子干红葡萄酒,Leeuwin Siblings Shiraz,,2011,,
"Jim Barry Lodge Hill Shiraz, Clare Valley ",27,SH-AU-B,Australia>Clare Valley,,Shiraz_1,金百利庐舍山庄设拉子,"Jim Barry Lodge Hill Shiraz, Clare Valley ",Red Wine,2012,0.14,
"Yalumba Shiraz/Viognier, Eden Valley",28,SH-AU-B,Australia>Eden Valley,,Shiraz_0.97/Viognier_0.03,御兰堡捍卫者设拉子/维安尼亚红葡萄酒,"Yalumba Shiraz/Viognier, Eden Valley",Red Wine,2010,0.14,
"Yalumba Patchwork Barossa Shiraz, Barossa Valley",29,SH-AU-B,Australia>Barossa Valley,,Shiraz_1,御兰堡拼布设拉子红葡萄酒,"Yalumba Patchwork Barossa Shiraz, Barossa Valley",Red Wine,2012,,
,30？,SH-AU-B,Australia>New South Wales>Orange Town,,Shiraz_1,滚动西拉子红葡萄酒,,红,2010,0.135,
The Laughing Magpie,31?,SH-AU-B,Australia>McLaren Vale,,Shiraz/Viognier,,The Laughing Magpie,,2011,0.142,
Stella Bella Shiraz,11,SH-AU-B,Australia>Margaret River,,Shiraz_0.964/Viognier_0.036,斯黛拉贝勒酒园西拉红,Stella Bella Shiraz,Red,2009,0.14,0.4
St Hugo Barossa Shiraz,32,SH-AU-C,Australia>South Australia>Barossa,Shiraz_1,,圣雨果巴罗萨西拉,St Hugo Barossa Shiraz,干红,2009,0.142,0
Turners Crossing Shiraz Viognier,33,SH-AU-C,Australia>Victoria>Voctoria Bendigo,Shiraz_0.95/Viognier_0.05,,特纳十字庄园设拉子维欧尼红葡萄酒,Turners Crossing Shiraz Viognier,红葡萄酒,2007,0.143,0.23
Flinders Estate 2012 Barossa Shiraz,34,SH-AU-C,Australia>Barossa Valley,Shiraz_1,,富临西拉子干红葡萄酒（2012）,Flinders Estate 2012 Barossa Shiraz,干红,2012,0.15,0.7g/L
D Block Reserve Shiraz,35,SH-AU-C,Australia>South Australia>McLaren Vale,Shiraz_1,,圣勒庄园特选设拉子干红葡萄酒,D Block Reserve Shiraz,干红,2010,0.145,2.1
Soul Growers - Slow Grown,36,SH-AU-C,Australia>Barossa Valley,Shiraz_1,,天鹅庄灵魂种植者缓酿西拉干红葡萄酒,Soul Growers - Slow Grown,干红,2012,0.15,0.49g/l
Auswan Creek One,37,SH-AU-C,Australia>South Australia,Shiraz_1,,天鹅庄一号希拉干红葡萄酒,Auswan Creek One,干红,2013,0.135,4.4g/l
Lindsay Collection - Sumit,38,SH-AU-C,Australia>SA>Barossa Valley,Shiraz_1,,琳赛典藏系列2011年西拉苏米特葡萄酒,Lindsay Collection - Sumit,Red Wine,2011,0.149,0.38
Dry Land Shiraz Dry Red Wine,39,SH-AU-C,Australia>South Australia>Clare Valley,Shiraz_1,,莱利斯旱地西拉干红葡萄酒,Dry Land Shiraz Dry Red Wine,干红,2009,0.15,2.4
BETA Centenarian Shiraz,40,SH-AU-C,Australia>Barossa,,Shiraz_1,彼得百年老藤干红葡萄酒,BETA Centenarian Shiraz,干型,2008,0.145,0.6
TOOLANGI ESTATE SHIRAZ,41,SH-AU-C,Australia>Yarra>Dixons Creek,,Shiraz_1,图朗吉庄园西拉干红葡萄酒（酒庄酒）,TOOLANGI ESTATE SHIRAZ,干型,2010,0.135,<0.1
Shottesbrooke Eliza Reserve Shiraz,42？,SH-AU-C,Australia>South Australia>McLaren Vale,,Shiraz_1,希拉谷伊莉沙收藏西拉红葡萄酒,Shottesbrooke Eliza Reserve Shiraz,Red,2012,14.5,3.6
Taylors St Andrews Shiraz ,43?,SH-AU-C,Australia>South Australia,,Shiraz,泰勒氏圣安设拉子红葡萄酒,Taylors St Andrews Shiraz ,,2012,,
"Yalumba Hand Picked Shiraz/Viognier, Eden Valley",44,SH-AU-C,Australia>Eden Valley,,Shiraz_0.98/Viognier_0.02,御兰堡手选设拉子/维安尼亚红葡萄酒,"Yalumba Hand Picked Shiraz/Viognier, Eden Valley",Red Wine,2012,,
The Dead Arm,45,SH-AU-C,Australia>McLaren Vale,,Shiraz_1,,The Dead Arm,,2011,0.143,
The Aberfeldy,46,SH-AU-C,Australia>Clare Valley,,Shiraz,蒂姆亚当斯酒园艾柏迪红,The Aberfeldy,Red,2010,0.15,
Stonecroft Serine Syrah,9,SH-B,New Zealand>Hawkes Bay,Shiraz_1,,石头堡赛润西拉红葡萄酒,Stonecroft Serine Syrah,干红,2013,0.13,
"Vina Casablanca, Nimbus Syrah",13,SH-B,Chile>Casablanca Valley,Shiraz_1,,卡萨布兰卡酒庄，尼博山庄系列西拉红,"Vina Casablanca, Nimbus Syrah",Red,2012,0.143,
"Planeta, Syrah Di Sicilia, IGT",17,SH-B,Italy〉Sicily,Shiraz_1,,朴奈达酒庄，西西里 西拉红,"Planeta, Syrah Di Sicilia, IGT",Red,2009,0.14,
"Fairview Shiraz, Paarl",14,SH-B,Africa>Paarl,,Shiraz_1,"锦绣庄园设拉子, 帕尔","Fairview Shiraz, Paarl",Red Wine,2012,"14,25%","3,2 g/l"
Three Corner Jack' Shiraz / Cabernet / Merlot,2,SH-BL-AU,Australia>McLaren Vale,Shiraz_0.57/Cabernet Sauvignon_0.3/Merlot_0.13,,瑞格斯先生西拉赤霞珠梅乐混酿红葡萄酒,Three Corner Jack' Shiraz / Cabernet / Merlot,干红,2011,0.145,4.0g/L
ANGOVE ORGANIC Shiraz Cabernet,3,SH-BL-AU,Australia>South Australia,,Shiraz_0.5/Cabernet Sauvignon_0.5,安戈瓦-纯酿-西拉赤霞珠干红葡萄酒 ,ANGOVE ORGANIC Shiraz Cabernet,干型,2014,0.14,
"Fairview Cyril Back Shiraz, Paarl",15,SH-C,Africa>Paarl,,Shiraz_1,"锦绣庄园西里尔设拉子, 帕尔","Fairview Cyril Back Shiraz, Paarl",Red Wine,2012,"14,5%","2,9 g/l"
Trinity Hill Gimblett Gravels Syrah,11,SH-C,New Zealand>Hawkes Bay>Gimblett Gravels,,Shiraz_0.98/Viognier_0.02,,Trinity Hill Gimblett Gravels Syrah,Red,2013,0.13,
Clos des Mures,?,SOUTH-FR,France>Languedoc,,Shiraz_0.85/Grenache _0.1/Mourvedre_0.05,,Clos des Mures,Red,2013,0.145,2.1
Le GSM,?,SOUTH-FR,France>Languedoc,,Grenache_0.35/Syrah_0.35/Mourvedre_0.3,,Le GSM,Red,2013,0.14,1.8
Cote Mas - Cru Pezenas,?,SOUTH-FR,France>Languedoc,,Carignan/Cinsault/Grenache/Syrah,,Cote Mas - Cru Pezenas,Red,2013,0.14,2.8
LES CLES DE CLEMENT V,A1,SOUTH-FR-A,France>AOC COTES DU RHONE VILLAGES>LAUDUN,Grenache_0.7/Syrah_0.3,,克莱蒙五世 - 小黑教皇,LES CLES DE CLEMENT V,DRY RED ,2012,0.14,
DOMAINE MAGELLAN MAGELLAN ROUGE 2013 750ml ,A2,SOUTH-FR-A,France>South France>South France,Carignan_0.15/Syrah_0.3/Grenache_0.55,,麦哲伦庄园红葡萄酒,DOMAINE MAGELLAN MAGELLAN ROUGE 2013 750ml ,red,2011,0.14,干型
COLLECTION ROYALE Pierres Sèches AOC 2009,A3,SOUTH-FR-A,France>Languedoc-Roussillon>Fitou,Carignan_0.35/Grenache_0.35/Syrah_0.3 ,,皮埃尔瑟奇干红葡萄酒,COLLECTION ROYALE Pierres Sèches AOC 2009,Red,2009,0.135,0.49
CHATEAU LA LIQUIERE VIEILLES VIGNES  2013 750ml ,B8,SOUTH-FR-B,France>South France>South France,Carignan_0.4/Grenache_0.4/Syrah_0.1/Mourvèdre_0.1,,力格庄园老藤红葡萄酒,CHATEAU LA LIQUIERE VIEILLES VIGNES  2013 750ml ,red,2013,0.14,干型
DOMAINE DE VILLEMAJOU ROUGE 2012 750ml ,B9,SOUTH-FR-B,France>South France>South France,Carignan_0.4/Grenache_0.4/Syrah_0.2,,飞马族庄园红葡萄酒,DOMAINE DE VILLEMAJOU ROUGE 2012 750ml ,red,2012,0.14,干型
PUECH NOBLE ROUGE COTEAUX DU LANGUEDOC 2013 750ml ,B10,SOUTH-FR-B,France>South France>South France,Shiraz_0.8/Grenache_0.1/Mourvèdre_0.1,,皮埃什贵族朗格多克红葡萄酒,PUECH NOBLE ROUGE COTEAUX DU LANGUEDOC 2013 750ml ,red,2009,0.135,干型
Côtes du Rhône AOC,B9  B17,SOUTH-FR-B,France>Rhone,,Grenache_0.4/Shiraz_0.5/Mourvèdre_0.1,,Côtes du Rhône AOC,Red,,,
"Gerard Bertrand Terroir, Minervois AOP",B11,SOUTH-FR-B,France>Languedoc-Roussillon>Languedoc-Roussillon,,Carignan_0.4/Shiraz_0.6,吉哈伯通风土系列红葡萄酒 ,"Gerard Bertrand Terroir, Minervois AOP",Red,2012,0.14,>1
"Chateau de l'Hospitalet Reserve Rouge, La Clape AOP",B13,SOUTH-FR-B,France>Languedoc-Roussillon>Languedoc-Roussillon,,Grenache_0.3/Shiraz_0.4/Mourvedre_0.3,豪斯古堡珍藏红葡萄酒,"Chateau de l'Hospitalet Reserve Rouge, La Clape AOP",Red,2012,0.145,>1
"Perrin Reserve Red, Cotes du Rhone AOC",B14,SOUTH-FR-B,France>Rhone Valley>Cotes du Rhone AOC,,,"佩兰珍藏红, 罗纳丘AOC","Perrin Reserve Red, Cotes du Rhone AOC",Red Wine,2012,0.135,
"Hecht & Bannier, Cotes du Roussillon Villages AOC",B15,SOUTH-FR-B,France>Languedoc-Roussillon>Cotes du Roussillon Villages AOC,,Carignan/Syrah/Grenache/Mourvèdre,"赫克班尼鲁西荣村庄红葡萄酒, 鲁西荣村庄AOC","Hecht & Bannier, Cotes du Roussillon Villages AOC",Red Wine,2010,"14,5%",
"Sieur D’Arques, Toques & Clochers, Occursus, Limoux Rouge AOP",B16,SOUTH-FR-B,France>Languedoc Roussillon>Limoux,,Merlot/Syrah/Grenache,瑟达克，主厨帽利木红葡萄酒,"Sieur D’Arques, Toques & Clochers, Occursus, Limoux Rouge AOP",Red,2009,,
M. Chapoutier Occultum Lapidem,C17,SOUTH-FR-C,France>Languedoc Roussillon>Roussillon,Carignan_0.1/Grenache_0.25/Shiraz_0.6/Mourvèdre_0.03,,莎普蒂尔奥拉丹干红葡萄酒,M. Chapoutier Occultum Lapidem,干红,2013,0.14,2
Ferraton Parvis Chateauneuf-du-Pape,C18,SOUTH-FR-C,France>Rhône Valley>Châteauneuf du Pape,Grenache/Syrah/Mourvèdre,,费童父子，费童帕维红,Ferraton Parvis Chateauneuf-du-Pape,Red,2011,0.155,
"Gerard Bertrand Parcelle Le Viala, Minervois la Liviniere AOP",C12？,SOUTH-FR-C,France>Languedoc-Roussillon>Languedoc-Roussillon,,Carignan_0.15/Grenache_0.25/Shiraz_0.6,吉哈伯通维拉红葡萄酒,"Gerard Bertrand Parcelle Le Viala, Minervois la Liviniere AOP",Red,2011,0.145,>1
"Perrin, Chateauneuf du Pape AOC",C19,SOUTH-FR-C,France>Rhone Valley>Cotes du Rhone AOC,,,"佩兰红, 教皇新堡AOC","Perrin, Chateauneuf du Pape AOC",Red Wine,2012,0.145,
Louis Perdrier Demi-sec,14,Sparkling-MOD-A,France>Bourgogne,Airen_0.5/Ugni Blanc_0.5,,路伊毕迪半干起泡葡萄酒,Louis Perdrier Demi-sec,Sparkling,NV,0.11,
CORTE GIARA PROSECCO MILLESIMATO ,2,Sparkling-MOD-A,Italy>Veneto>Veneto,Glera_1,,科奇拉普西哥年份起泡葡萄酒 2013 750ml,CORTE GIARA PROSECCO MILLESIMATO ,sparkling,2013,0.11,干型
CELLAR SELECTION SPARKLING SAUVIGNON BLANC(ZORK) ,1,Sparkling-MOD-A,New Zealand>New Zealand>New Zealand,Sauvignon Blanc_1 ,,思兰尼酒窖精选长相思天然型起泡酒 NV 750ml,CELLAR SELECTION SPARKLING SAUVIGNON BLANC(ZORK) ,sparkling,nv,13% /11.5%,天然型
"Bisol, Bel Star Cult Extra Dry Prosecco",3,Sparkling-MOD-A,Italy>Veneto>Valdobbiadene,Glera_1,,比索酒庄，亮丽之星风范起泡葡萄酒,"Bisol, Bel Star Cult Extra Dry Prosecco",Sparkling,NV,0.11,
Pierre Chainier Rose Seduction Brut,4,Sparkling-MOD-A,France>Loire Valley,Pinot Noir/Syrah/Cinsault,,谢尼酒庄桃红起泡酒,Pierre Chainier Rose Seduction Brut,Sparkling,NV,0.115,
"Villa Maria Lightly Sparkling Sauvignon Blanc , Marlborough",5?,Sparkling-MOD-A,New Zealand>Marlborough,,Sauvignon Blanc_1,新玛利庄园马尔堡轻起泡长相思,"Villa Maria Lightly Sparkling Sauvignon Blanc , Marlborough",Sparkling,2014,0.125,5.7
Adamo Presecco,11,Sparkling-MOD-B,Italy〉Veneto,Glera_1,,亚当干白起泡葡萄酒,Adamo Presecco,Sparkling,NV,0.115,
Asolo Prosecco Superiore DOCG,7,Sparkling-MOD-B,Italy>Veneto,Glera_1,,维尼枷锁朴赛克精选起泡酒,Asolo Prosecco Superiore DOCG,Sparkling,2000,11%,
SOLSI SPUMANTE METODO CLASSICO TRENTO DOC BRUT NV 750ml ,8,Sparkling-MOD-B,Italy>TRENTINO ALTO ADIGE>TRENTINO ALTO ADIGE,Chardonnay_1,,勃罗家族竖琴索尔西特伦托经典起泡酒,SOLSI SPUMANTE METODO CLASSICO TRENTO DOC BRUT NV 750ml ,sparkling,nv,0.125,干型
DON PASCUAL Semi Seco ,15,Sparkling-MOD-B,Spain>Penedes,Xarello/Macabeo/Parellada,,唐-帕斯卡 半干起泡葡萄酒,DON PASCUAL Semi Seco ,Sparkling,NV,0.115,39.2
"Bisol, Jeio Prosecco Brut, Valdobbiadene Prosecco Superiore, DOCG",9,Sparkling-MOD-B,Italy>Veneto>Valdobbiadene,Glera_0.9/Pinot Bianco_0.06/Verdiso_0.04,,比索酒庄，卓尔系列天然型起泡酒,"Bisol, Jeio Prosecco Brut, Valdobbiadene Prosecco Superiore, DOCG",Sparkling,NV,0.115,
"Bisol, “Crede""
Valdobbiadene Prosecco Superiore, DOCG",10,Sparkling-MOD-B,Italy>Veneto>Valdobbiadene,Glera_0.85/Pinot Bianco_0.1/Verdiso_0.05,,比索酒庄，克瑞德起泡酒,"Bisol, “Crede""
Valdobbiadene Prosecco Superiore, DOCG",Sparkling,2013,0.115,
Laurent-Perrier Brut,13,Sparkling-MOD-C,France>Champagne,,Chardonnay_0.5/Pinot Noir_0.35/Pinot Meunier_0.15,,Laurent-Perrier Brut,Sparkling,,,
Cuvée Rosé,12,Sparkling-MOD-C,France>Champagne,,Pinot Noir_1,,Cuvée Rosé,Sparkling,,,
Champagne Mansard Brut,7？,Sparkling-TOD,France>Champange,,Chardonnay_0.33/Pinot Noir_0.33/Pinot Meunier_0.33,蔓莎德酒园卡特布兰卡香槟,Champagne Mansard Brut,Sparking,NV,0.12,10.15
Champagne Mansard Brut Millesime,11？,Sparkling-TOD,France>Champange,,Chardonnay_0.25/Pinot Noir_0.45/Pinot Meunier_0.3,蔓莎德酒园年份香槟,Champagne Mansard Brut Millesime,Sparking,2006,0.12,10.15
SEGURA VIUDAS CAVA DO BRUT ROSADA,3,Sparkling-TOD-A,Spain>Penedès,Chapa_0.9/Grenache_0.1,,维达斯桃红卡瓦起泡葡萄酒,SEGURA VIUDAS CAVA DO BRUT ROSADA,Sparkling,NV,0.12,8.8g/l
CLOS MONTBLANC PROYECTO CU4TRO PREMIUM RESERVA 2010 750ml ,2,Sparkling-TOD-A,Spain>Catalunia>Catalunia,Macabeu_0.45/Xarel.lo_0.3/Parellada_0.2/Chardonnay_0.05,,克劳斯蒙布朗珍藏起泡葡萄酒（8）,CLOS MONTBLANC PROYECTO CU4TRO PREMIUM RESERVA 2010 750ml ,sparkling,nv,0.115,天然型
CLOS MONTBLANC PROYECTO CU4TRO CAVA SILVER NV 750ml ,1,Sparkling-TOD-A,Spain>Catalunia>Catalunia,Macabeu_0.45/Xarel.lo_0.3/Parellada_0.2/Chardonnay_0.05,,克劳斯蒙布朗起泡葡萄酒,CLOS MONTBLANC PROYECTO CU4TRO CAVA SILVER NV 750ml ,sparkling,nv,0.115,天然型
Chandon Brut,0,Sparkling-TOD-A,"China>Ningxia>East Helan Mountain Wine Region
",,Chardonnay_0.7/Pinot Noir_0.3,夏桐传统工艺天然高泡葡萄酒,Chandon Brut,Sparkling,NV,0.125,9g/L
BRUT ROSE CHAMPAGNE  NOMINE RENARED  750ml,5,Sparkling-TOD-B,France>Champagne>Champagne,Chardonnay_0.5/Pinot Meunier_0.5,,诺酩雷纳桃红香槟750ml,BRUT ROSE CHAMPAGNE  NOMINE RENARED  750ml,sparkling,nv,0.125,干型
"Sieur d’Arques, Premiere Bulle, Blanquette de Limoux, AOP",4,Sparkling-TOD-B,France>Languedoc Roussillon>Limoux,,Mauzac_0.9/Chardonnay_0.05/Chenin Blanc_0.05,瑟达克，1号起泡葡萄酒,"Sieur d’Arques, Premiere Bulle, Blanquette de Limoux, AOP",Sparkling,2012,0.12,
Champagne Charles de CAZANOVE - Tradition Brut,6,Sparkling-TOD-B,France>Champagne AOP,,Pinot Noir_0.5/Chardonnay_0.3/Pinot Meunier_0.2,凯萨王香槟葡萄酒,Champagne Charles de CAZANOVE - Tradition Brut,干型,NV,0.13,
"Franciacorta Brut D.O.C.G. ""Primum""",7改10,Sparkling-TOD-C,Italy>Lombardy,Chardonnay_0.75/Pinot nero_0.2/Pinot bianco_0.05,,拉瓦莱天然型起泡葡萄酒,"Franciacorta Brut D.O.C.G. ""Primum""",Sparkling,2011,0.125,
