"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
,9,CHINA-CS-A,China>Xinjiang>Heyi,,Cabernet Sauvignon_0.8/Merlot_0.2,臣禹酒庄有机干红葡萄酒（窖藏级）,,干红,2013,0.13,
XIA ZUN cabernet sauvignon dry red wine,10,CHINA-CS-A,"China>Ningxia>East Helan Mountain Wine Region
",,Cabernet Sauvignon_0.85/Merlot_0.15,夏尊赤霞珠干红葡萄酒,XIA ZUN cabernet sauvignon dry red wine,干型,2014,0.134,3
XIA ZUN cabernet sauvignon dry red wine,10,CHINA-CS-A,"China>Ningxia>East Helan Mountain Wine Region
",,Cabernet Sauvignon_0.8/Merlot_0.1/Cabernet Gernischt_0.05,夏尊干红葡萄酒,XIA ZUN cabernet sauvignon dry red wine,干型,2014,0.134,2.5
"Kanaan Gutenland, Ningxia Helan Moutain",12,CHINA-CS-A,China>Ningxia>Helan Moutain,,Cabernet Sauvignon/Merlot/Cabernet Gernischet ,"迦南美地古藤兰红葡萄酒, 宁夏贺兰山东麓","Kanaan Gutenland, Ningxia Helan Moutain",Red Wine,2013,0.125,
"Roshan
 hoard dry 
red wine",13,CHINA-CS-A,China>East Helan Mountain Wine Region>Dongshibao district,,Cabernet Sauvignon_1           ,"罗山窖藏
干红葡萄酒","Roshan
 hoard dry 
red wine",平静,2012,0.125,
Helan Mountain Special Reserve Cabernet Sauvignon,16,CHINA-CS-B,China>Ningxia,Cabernet Sauvignon_0.9/Merlot_0.1                ,,贺兰山珍藏赤霞珠,Helan Mountain Special Reserve Cabernet Sauvignon,干红,2012,0.14,3.6
Chateau Changyu Moser XV,17,CHINA-CS-B,China>Helan Mountain>YinChuan City,Cabernet Sauvignon_0.8/Merlot_0.15/Syrah_0.05               ,,张裕摩塞尔十五世酒庄干红葡萄酒,Chateau Changyu Moser XV,Dry Red Wine,2010,0.13,4
Moser Family Cabernet Sauvignon,18,CHINA-CS-B,China>Helan Mountain>YinChuan City,Cabernet Sauvignon_0.8/Merlot_0.2               ,,摩塞尔家族赤霞珠干红葡萄酒,Moser Family Cabernet Sauvignon,Dry Red Wine,2010,0.125,4
ZhenGe 2012,1,CHINA-CS-B,China>Ningxia>ZhenBeiBao,Cabernet Sauvignon_1                ,,静嘉 2012,ZhenGe 2012,干型,2012,0.135,4
NIYA Winemaker Cabernet Sauvignon Dry Red Wine Resreve,20,CHINA-CS-B,China>Xinjiang Tianshan Mountain>Mahe Grape Garden,Cabernet Sauvignon_1                ,,尼雅酿酒师珍藏赤霞珠干红,NIYA Winemaker Cabernet Sauvignon Dry Red Wine Resreve,干型,2013,0.135,
,21,CHINA-CS-B,China>Ningxia Helan Mountain>GongSiBao Region,Cabernet Sauvignon_1                ,, 千红裕    铂金级赤霞珠干红,,    干型,2013,0.133,3.5
,22,CHINA-CS-B,China>Ningxia Helan Mountain>GongSiBao Region,Cabernet Sauvignon_0.7/Merlot_0.3                ,, 千红裕    钻石级赤霞珠干红,,    干型,2013,0.133,3.8
Shengtang CS Dry Red Wine,23,CHINA-CS-B,China>Yantai>Penglai,Cabernet Sauvignon_1                ,,盛唐赤霞珠干红葡萄酒,Shengtang CS Dry Red Wine,干红,2011,0.135,
Pushang Cabernet Sauvignon,24,CHINA-CS-B,China>Ningxia>Helan Mountain,Cabernet Sauvignon_1                ,,蒲尚赤霞珠,Pushang Cabernet Sauvignon,干型,2013,0.141,
Chateau Ryden,25,CHINA-CS-B,China>Beijing>Fangshan District,,Cabernet Sauvignon_1,瑞登堡干型红葡萄酒,Chateau Ryden,干,2013,0.13,
Yuange 2013 Collection Cabernet Sauvignon dry red wine,26,CHINA-CS-B,China>East Helan Mountain Wine Region,,Cabernet Sauvignon_1,原歌2013珍藏.赤霞珠干红葡萄酒,Yuange 2013 Collection Cabernet Sauvignon dry red wine,干型,2013,0.141,
Yuange 2012 Collection Cabernet Sauvignon dry red wine,27,CHINA-CS-B,China>East Helan Mountain Wine Region,,Cabernet Sauvignon_1,原歌2012珍藏.赤霞珠干红葡萄酒,Yuange 2012 Collection Cabernet Sauvignon dry red wine,干型,2012,0.141,
Cabernet Sauvignon Organic Dry Red Wine ,28,CHINA-CS-B,"China>East Helan Mountain Wine Region>Yongning district
",,Cabernet Sauvignon_0.85/Merlot_0.15,赤霞珠有机干红葡萄酒,Cabernet Sauvignon Organic Dry Red Wine ,干型,2012,0.14,1.5
"Kanaan Pretty Pony, Ningxia Helan Moutain",29,CHINA-CS-B,China>Ningxia>Helan Moutain,,Cabernet Sauvignon_0.9/Merlot_0.1,"迦南美地小马驹红葡萄酒, 宁夏贺兰山东麓","Kanaan Pretty Pony, Ningxia Helan Moutain",Red Wine,2013,0.14,
"Roshan
 preferred
 dry red
 wine",30,CHINA-CS-B,China>East Helan Mountain Wine Region>Dongshibao district,,Cabernet Sauvignon_1,罗山手选级干红葡萄酒,"Roshan
 preferred
 dry red
 wine",平静,2012,0.125,
Coldentimesfazenda Gold Period Cabernet Sauvignon,31,CHINA-CS-B,China>Shandong>Yantai,,Cabernet Sauvignon_1,金色时代生态小葡冬酿赤霞珠干红葡萄酒,Coldentimesfazenda Gold Period Cabernet Sauvignon,干型,2013,0.125,
Cabernet Sauvignon Dry Red Wine,32,CHINA-CS-B,China>northern offshoot of Mt.Tianshan>Changji district,,Cabernet Sauvignon_0.9,新疆唐庭霞露赤霞珠干红葡萄酒,Cabernet Sauvignon Dry Red Wine,干型葡萄酒,2013,0.13,
,33,CHINA-CS-B,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.85/Merlot_0.15,聖威蘭,,干型,2013,0.14,
,34,CHINA-CS-B,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.2/Merlot_0.2    ,威蘭尼诺,,干型,2013,0.14,
,35,CHINA-CS-B,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.85/Merlot_0.15,聖威蘭,,干型,2014,0.135,
,36,CHINA-CS-B,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.2/Merlot_0.2    ,威蘭尼诺,,干型,2014,0.13,
Cabernet Sauvignon,3,CHINA-CS-B,China>Ningxia>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.8/Merlot_0.2,贺兰芳华赤霞珠,Cabernet Sauvignon,橡木陈酿,2012,15,3
Hansen 2008,38,CHINA-CS-B,China>West China>Wu hai,,Cabernet Sauvignon_0.7/Cabernet Gernischt_0.25/Cabernet Franc_0.05,庄园2008干红葡萄酒,Hansen 2008,平静葡萄酒/still wine,2008,14.00,
LAN CUI,39,CHINA-CS-B,China>Helan Mountain,,Cabernet Sauvignon_0.8/Merlot_0.2               ,览翠,LAN CUI,干型,2012,13%vol,》3/L
YuanRun Cabernet Sauvignon Dry Wine,40,CHINA-CS-C,China>East Helan Mountain Wine Region,,Cabernet Sauvignon_0.85/Merlot_0.15,圆润珍藏赤霞珠干红葡萄酒,YuanRun Cabernet Sauvignon Dry Wine,红葡萄酒,2013,0.135,2.66
,41,CHINA-CS-C,China>The Hexi Corridor>Jiayuguan,,Cabernet Sauvignon_0.85/Merlot_0.15,陈酿赤霞珠干红葡萄酒,,,,13.5,
"Kanaan Black Beauty, Ningxia Helan Moutain",42,CHINA-CS-C,China>Ningxia>Helan Moutain,,Cabernet Sauvignon_0.7/Merlot_0.3,"迦南美地黑骏马红葡萄酒, 宁夏贺兰山东麓","Kanaan Black Beauty, Ningxia Helan Moutain",Red Wine,2011,0.14,
